Date,IEF,SPY
2022-06-29,90.1242446899414,362.4476318359375
2022-06-30,90.81671142578125,359.5029296875
2022-07-01,91.79026794433594,363.30523681640625
2022-07-05,92.12812042236328,363.99139404296875
2022-07-06,91.34571075439453,365.220703125
2022-07-07,90.78556823730469,370.6907043457031
2022-07-08,90.23432159423828,370.3857116699219
2022-07-11,90.94563293457031,366.15460205078125
2022-07-12,91.15900421142578,362.91455078125
2022-07-13,91.5501937866211,361.0086364746094
2022-07-14,91.04342651367188,360.1319885253906
2022-07-15,91.35459899902344,367.01226806640625
2022-07-18,91.08785247802734,363.9818115234375
2022-07-19,90.66999053955078,373.8163757324219
2022-07-20,90.58109283447266,376.19879150390625
2022-07-21,91.61243438720703,380.0296325683594
2022-07-22,92.66157531738281,376.5036926269531
